Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNMENT   802312,USNMENT00802312,Entomology Types,,,,,Holotype,Proceedings of the United States National Museum. 68 (2611): 81.,,1 Adult Female,Pinned,,,United States,Texas,Tarrant,Arlington,,,,,[Not Stated],3 Nov 1917 (Nov 3 1917),1,"Reviewed, Dec 2012, Reviewed by Michael Gates, USDA SEL.",,,,,,,,1/9/2014 19:37,http://n2t.net/ark:/65665/337ad5f75-6231-4c5d-b958-0222bf0110bd
USNMENT  1547050,USNMENT01547050,Entomology Types,,,,,,,,1 Adult Female,Pinned,,,United States,Florida,Monroe,"Kitching, Sugarloaf Key",,24.6422,-81.5117,,"Peck, S.; Peck, J.","19 Nov 1985 to 26 Feb 1986 (November 19, 1985 - February 26, 1986)",1,"Reviewed, 12 Sep 2021, Submitted by TH Atkinson, SI.",,,,,,,,9/12/2021 23:25,http://n2t.net/ark:/65665/3ea732da9-b67f-43aa-aec5-28aa65b7e539
USNMENT  1547051,USNMENT01547051,Entomology Types,,,,,,,,1 Adult Female,Pinned,,,United States,Florida,Monroe,"Watsons Hammock, Big Pine Key",,24.6922,-81.3728,,"Browne, J. E.","4 Jun 1986 (June 4, 1986)",1,"Reviewed, 12 Sep 2021, Submitted by TH Atkinson, SI.",,,,,,,,9/12/2021 23:35,http://n2t.net/ark:/65665/3ebbb9fd7-ba0b-4e6a-9ae3-6dd5133d460f
USNMENT  1570898,USNMENT01570898,Entomology Types,Insecta,Hymenoptera,Chalcidoidea,A guizoti Giraud,,,,1 Adult,Pinned,,,United States,Indiana,,Lafayetter,,40.4167,-86.8753,,Satterthwaite,([not stated]),1,"Reviewed, 10 Jul 2021, Reviewed by Meg Phillips, SI.",,,,,,,,7/10/2021 22:38,http://n2t.net/ark:/65665/398deb995-b69d-46b1-a266-fdb639a63ed6
,,Inquire Types,Insecta,Psocoptera,Philotarsidae,Aaroniella gressitti,Allotype,,,1 Male,Slide,,,United States,Florida,Pinellas,St. Petersburg,,27.7731,-82.64,,[Not Stated],(9 March),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/13/2015 20:46,http://n2t.net/ark:/65665/333c1bfad-3ec8-45a8-b87e-a4d2f29f014f
,,Entomology Types,Insecta,Coleoptera,Cleridae,"Ababa crinita Casey, 1897",Type,Casey. 1897. Annals of the New York Academy of Sciences. 9: 654.,,1 Adult,Pinned,,,United States,Texas,,Brownsville; Texas,,,,,Wickham,,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:57,http://n2t.net/ark:/65665/3b217880d-cc41-479d-aee6-a74c7f2a2d66
,,Inquire Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",,,,,,,,United States,California,Sonoma,Santa Rosa,,38.4405,-122.714,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:33,http://n2t.net/ark:/65665/3b5e99478-f889-4857-92ef-7dcd8d820c49
,,Inquire Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",,,,,,,,United States,California,Mendocino,Soda Springs; Anderson Valley,,39.0232,-123.315,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:31,http://n2t.net/ark:/65665/3a9f92ed6-79b9-44c6-afda-76178673bdaa
,,Entomology Types,Insecta,Coleoptera,Staphylinidae,"Ababactus pallidiceps Casey, xxxx1886",Type,Casey. 1886. Bulletin of the California Academy of Sciences. 6: 209.,,1 Adult,Pinned,,,United States,California,Sonoma,Santa Rosa,,38.4405,-122.714,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:43,http://n2t.net/ark:/65665/36b6fccf2-6d18-434a-acda-874548b5040e
,,Entomology Types,Insecta,Coleoptera,Carabidae,"Abacidus planifer Casey, 1913",Holotype,Lindroth. 1975.,,1 Adult Female,Pinned,,,United States,Indiana,[Not Stated],[Not Stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:52,http://n2t.net/ark:/65665/3e77eb6b2-a3b0-4e95-a7b7-09a042912962
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abagrotis crumbi Franclemont, 1955",Holotype,"Franclemont. 1955. Bulletin of the Brooklyn Entomological Society. 50: 44, figs. 2,3 male genitalia, fig. 1 female genitalia.",,male,Pinned; Slide,,,United States,Washington,Yakima,White Swan,,46.3944,-120.703,,"Crumb, S. E.",5 Jun 1933 (VI-5-33),1,"Reviewed, 2013.",,,,,,,,4/29/2013 14:26,http://n2t.net/ark:/65665/3de96e986-1961-4788-b823-6135172d4733
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abagrotis crumbi race benjamini Franclemont, 1955",Holotype,Franclemont. 1955. Bulletin of the Brooklyn Entomological Society. 50: 46.,,male,Pinned; Slide,,,United States,New York,Kings,"East New York, Brooklyn",,40.6668,-73.8824,,"Weeks, A. C.",17 Sep 1900 (7.17.00),1,"Reviewed, 2013.",,,,,,,,4/29/2013 14:26,http://n2t.net/ark:/65665/36161bbae-4edb-456e-a002-dfe7642c1130
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abagrotis tristis Barnes & McDunnough, 1912",Lectotype,"Barnes & McDunnough. 1912. Contributions to the Natural History of the Lepidoptera of North America. 1 (5): 8, pl. 1, fig. 17.",,male,Pinned; Slide,,,United States,Arizona,Pinal,Santa Catalina Mountains,,32.4431,-110.788,,[Not Stated],,1,"Reviewed, 2013.",,,,,,,,4/29/2013 14:26,http://n2t.net/ark:/65665/3c14a8eea-292c-4ebc-a619-528051aa8f47
,,Inquire Types,Insecta,Diptera,Phoridae,"Abaristophora diversipennis Borgmeier, 1962",Holotype,,,1 Male,,,,United States,Montana,Glacier,Glacier Park; Two Medicine Lake,,48.4769,-113.388,,"Melander, A. L.",3 Aug 1935 (3 AUG. 35),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:49,http://n2t.net/ark:/65665/3c053809d-4658-4839-9cd4-05d526ea38e7
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,Abbella auriscutellum Girault,Type,,,,,,,United States,Florida,Pinellas,St. Petersburg,,27.7731,-82.64,,[Not Stated],(9 March),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 19:43,http://n2t.net/ark:/65665/3b56823be-8d11-49e2-986e-ca4cf65b86ba
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,"Abbella perditrix Gahan, 1918",Paratype,,,,,,,United States,Arizona,Maricopa,Tempe,,33.4294,-111.943,,"Wildermuth, V. L.",,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 19:44,http://n2t.net/ark:/65665/3707a746e-5aba-443a-8820-9d1e546db4dc
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,Abbella subflava Girault,Syntype,,,,Slide,,,United States,District of Columbia,,[Not Stated],,38.8951,-77.0364,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/7/2014 17:30,http://n2t.net/ark:/65665/3515780b6-445a-4e2e-8830-8af2d9b99b22
,,Inquire Types,Insecta,Hemiptera,Delphacidae,"Abbrosoga errata Caldwell, 1951",Holotype,,,,,,,United States,Puerto Rico,[Not Stated],Toro Negro Mountains,,18.1733,-66.4922,,[Not Stated],14-Nov-47,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 20:13,http://n2t.net/ark:/65665/3ed922498-78a3-45f5-bc04-32a94e6deb30
,,Entomology Types,Insecta,Lepidoptera,Plutellidae,"Abebaea cockerella Busck, 1903",Holotype,"Busck, A. 1903. Jl. N.Y. Ent. Soc. 11 (1): 54.","Ypsolopha cockerella (Busck, 1903)",Male,Pinned,,,United States,New Mexico,Dona Ana,Mesilla Park,,32.2758,-106.767,,"Cockerell, T. D.",,1,"Reviewed, Jan 2011, John W. Brown, USDA SEL.",,,,,,,,1/9/2014 16:37,http://n2t.net/ark:/65665/3160e5448-435a-4155-aaab-137927cd8dc9
,,Entomology Types,Insecta,Lepidoptera,Plutellidae,"Abebaea delicatella Busck, 1903",Syntypes,"Busck, A. 1903. Jl. N.Y. Ent. Soc. 11 (1): 53.","Ypsolopha delicatella (Busck, 1903)",Male; Female,Pinned,,,United States,Arizona,Yuma,Desert,,32.7869,-113.983,,[Not Stated],,2,"Reviewed, Jan 2011, John W. Brown, USDA SEL.",,,,,,,,1/9/2014 16:37,http://n2t.net/ark:/65665/387771f79-30aa-4e5e-a1ff-6a43231cb715
,,Entomology Types,Insecta,Lepidoptera,Plutellidae,"Abebaea gerdanella Busck, 1903",Holotype,"Busck, A. 1903. Jl. N.Y. Ent. Soc. 11 (1): 53.","Ypsolopha gerdanella (Busck, 1903)",Female,Pinned,,,United States,New Mexico,Dona Ana,Mesilla Park,,32.2758,-106.767,,"Cockerell, T. D.",,1,"Reviewed, Jan 2011, John W. Brown, USDA SEL.",,,,,,,,1/9/2014 16:37,http://n2t.net/ark:/65665/3cb6506d8-b953-45bd-9a30-50290e563ae3
,,Entomology Types,Insecta,Lepidoptera,Plutellidae,"Abebaea nella Busck, 1903",Holotype,"Busck, A. 1903. Jl. N.Y. Ent. Soc. 11 (1): 54.","Ypsolopha nella (Busck, 1903)",Male,Pinned,,,United States,Arizona,Coconino,Williams,,35.2494,-112.19,,"Barber, H. S.",,1,"Reviewed, Jan 2011, John W. Brown, USDA SEL.",,,,,,,,1/9/2014 16:37,http://n2t.net/ark:/65665/392264d63-fd01-4767-b207-f7f4888b40a6
,,Entomology Types,Insecta,Lepidoptera,Plutellidae,"Abebaea querciella Busck, 1903",Holotype,"Busck, A. 1903. Jl. N.Y. Ent. Soc. 11 (1): 55.","Ypsolopha querciella (Busck, 1903)",Female,Pinned,,,United States,Arizona,Coconino,Williams,,35.2494,-112.19,,"Schwarz, E. A.",,1,"Reviewed, Jan 2011, John W. Brown, USDA SEL.",,,,,,,,1/9/2014 16:37,http://n2t.net/ark:/65665/399dee272-0d62-410d-aa6f-340a5a4986ce
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,Abella americana Girault,Type,,,,Slide,,,United States,Utah,Salt Lake,Salt Lake City,,40.7608,-111.891,,"Ainslie, C. N.",17 Jan 1912 (JAN.17.1912),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/7/2014 17:32,http://n2t.net/ark:/65665/384a9e596-9c52-474d-a53a-3653c31cd1d2
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,Abella auriscutellum Girault,Syntype,,,1 Female,Slide,,,United States,Arizona,Maricopa,Tempe,,33.4294,-111.943,,[Not Stated],"26 May 1914 (MAY 26, 1914)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/7/2014 17:32,http://n2t.net/ark:/65665/32901a2df-052e-455c-a485-968c7bc7c39c
,,Inquire Types,Insecta,Hymenoptera,Trichogrammatidae,Abella perditrix Gahan,Holotype,,,1 Female,Slide,,,United States,Arizona,Maricopa,Tempe,,33.4294,-111.943,,"Wildermuth, V. L.",,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/7/2014 17:32,http://n2t.net/ark:/65665/333d6d961-09da-4f46-a05a-bcab746d4409
,,Inquire Types,Insecta,Hymenoptera,Unknown hymenoptera,Abellela americana Girault,Type,,,,,,,United States,Utah,Salt Lake,Salt Lake City,,40.7608,-111.891,,"Ainslie, C. N.","12 Jan 1912 (JAN 17, 1912)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 19:44,http://n2t.net/ark:/65665/3f93ec2f1-3d47-4a16-9797-7bd49df5e974
,,Inquire Types,Insecta,Hemiptera,Diaspididae,Abgrallaspis coloratus,Type,,"Ponana (Neopana) avena Delong & Freytag, 1967",,Slide,,,United States,New Mexico,Dona Ana,Las Cruces,,32.3144,-106.779,,"Cockerell, T. D.","24 Jul 1893 (JULY 24, 1893)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 20:06,http://n2t.net/ark:/65665/3d608fb09-8ede-439a-b017-4d0f491b6a82
,,Inquire Types,Insecta,Hemiptera,Diaspididae,"Abgrallaspis liriodendri Miller & Howard, 1981",Holotype,,,,,,,United States,Louisiana,Washington,West of Bogalusa,,30.7947,-89.8906,,"Howard, F. W.",25 May 1971 (25-V-1971),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 20:05,http://n2t.net/ark:/65665/38f3a4ba7-b690-4447-8338-139fc2fe2e60
,,Inquire Types,Insecta,Diptera,Chironomidae,Ablabesmyia alaskensis Roback,Holotype,,,,Slide,,,United States,Alaska,[Not Stated],Matanuska; Eklutna Highway,,61.4042,-149.1,,"Sommerman, K. M.",22 Jun 1964 (22 JUNE 1964),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:22,http://n2t.net/ark:/65665/342f81069-0e50-4744-8a6c-c135484999d1
,,Inquire Types,Insecta,Diptera,Chironomidae,"Ablabesmyia arietina Coquillett, 1908",Type,,Tanypus,,,,,United States,New York,Clinton,Plattsburgh,,44.6995,-73.4529,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:05,http://n2t.net/ark:/65665/3f739812e-875f-4505-b4dc-4c8c3686700d
,,Inquire Types,Insecta,Diptera,Chironomidae,Ablabesmyia philosphagnus Beck,Holotype,,,1 Male,Slide,,,United States,Florida,Saint Johns,roadside ditch,,,,,[Not Stated],20 Feb 1965 (20 FEB. 1965),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:21,http://n2t.net/ark:/65665/3ece8c893-0f72-4b93-84e7-cd75470fc313
,,Inquire Types,Insecta,Diptera,Chironomidae,Ablabesmyia rhamphe Sublette,Holotype,,,,,,,United States,Louisiana,Natchitoches,[not stated],,31.73,-93.1,,[Not Stated],16 Jun 1957 (16-VI-1959),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:21,http://n2t.net/ark:/65665/30a0edf6a-18ec-4c96-9d92-9183a4244cfc
,,Inquire Types,Insecta,Diptera,Asilidae,"Ablautus coquilletti Wilcox, 1935",Holotype,,,1 Male,Pinned,,,United States,California,Los Angeles,[Not Stated],,34.3213,-118.225,,Coquillett,,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,4/22/2013 14:44,http://n2t.net/ark:/65665/3811230e5-b2ba-4d2d-ab61-f8a8dfe0b2d9
,,Inquire Types,Insecta,Diptera,Asilidae,"Ablautus flavipes Coquillett, 1904",Type,,,,Pinned,,,United States,California,Los Angeles,[Not Stated],,34.05,-118.25,,"Coquillett, D. W.",([Not Stated]),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:04,http://n2t.net/ark:/65665/3a60834dc-0605-4123-87e8-051f0388f9da
,,Inquire Types,Insecta,Diptera,Asilidae,"Ablautus rubens Coquillett, 1904",Type,,,,Pinned,,,United States,Washington,[Not Stated],[not stated],,,,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 20:04,http://n2t.net/ark:/65665/3811eb9dc-3e28-47a3-8294-b143128d0b05
,,Entomology Types,Insecta,Coleoptera,Melyridae,"Ablechrus puertoricanus Wittmer, 1979",Holotype,1979. Entomologica Basiliensis. 4: 350.,,1 Adult Male,Pinned,,,United States,Puerto Rico,Adjuntas,Adjuntas,,18.1628,-66.7222,,[Not Stated],23-Mar-33,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 20:02,http://n2t.net/ark:/65665/36943acc2-5a52-4991-ad2e-d69dd014a051
,,Entomology Types,Insecta,Coleoptera,Melyridae,"Ablechrus testaceomimus Wittmer, 1979",Holotype,1979. Entomologica Basiliensis. 4: 348.,,1 Adult Male,Pinned,,,United States,Puerto Rico,Adjuntas,Adjuntas,,18.1628,-66.7222,,[Not Stated],23-Mar-33,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 20:02,http://n2t.net/ark:/65665/38b3b9c55-bf53-4006-a527-f22ddaf2416f
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Ablepharon absidum Harvey, 1875",Primary Syntype,Harvey. 1875. Bulletin of the Buffalo Society of Natural Sciences. 2: 275.,"Copablepharon absida (Harvey, 1875)",,Pinned; Slide,,,United States,Oregon,[Not Stated],[not stated],,,,,[Not Stated],,1,"Reviewed, 2013.",,,,,,,,4/29/2013 17:10,http://n2t.net/ark:/65665/30958b729-aed0-4cb7-9dd7-967368713771
,,Inquire Types,Insecta,Hymenoptera,Encyrtidae,Ablerus americanus Girault,Type,,,,,,,United States,District of Columbia,,Washington,,38.8951,-77.0364,,[Not Stated],14 Jun 1911 (JUNE 14-11),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 19:44,http://n2t.net/ark:/65665/39173a5b8-a699-4822-9a5d-3c822b1b080e
,,Entomology Types,Insecta,Coleoptera,Staphylinidae,"Abletobium pallescens Casey, 1905",Lectotype,"Watrous, L. E. 1981.",,1 Adult,Pinned,,,United States,Massachusetts,[Not Stated],[Not Stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:54,http://n2t.net/ark:/65665/36ac7a3a3-e52c-4f51-aff4-0846bf92803e
,,Inquire Types,Insecta,Lepidoptera,Glyphipterigidae,"Abrenthia cuprea Busck, 1915",Lectotype,,,,,,,United States,Pennsylvania,Philadelphia,Roxborough,,40.0539,-75.2419,,"Haimbach, F.",Jun 1927 (VI 27),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/9/2014 16:44,http://n2t.net/ark:/65665/3f72a1ac6-dd4d-4bc9-8d5c-54e94700d0c6
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abrostola mariana Walter, 1928",Primary Syntypes,Walter. 1928. Proceedings of the Entomological Society of Washington. 30: 138.,,2 male,Pinned; Slide,,,United States,Arizona,Maricopa,Tempe,,33.4294,-111.943,,"Walter, E. V.; Martinez M.","3 Dec 1923 (DEC 3, 1923)",2,"Reviewed, 2013.",,,,,,,,1/9/2014 17:42,http://n2t.net/ark:/65665/32a5d3e74-302e-4e2f-b0e9-dca9ef327e3f
,,Entomology Types,Insecta,Lepidoptera,Noctuidae,"Abrostola parvula Barnes & McDunnough, 1916",Lectotype,Barnes & McDunnough. 1916. Canadian Entomologist. 48: 225.,,male,Pinned; Slide,,,United States,Arizona,[Not Stated],Southern Arizona,,,,,Poling,,1,"Reviewed, 2013.",,,,,,,,4/29/2013 14:26,http://n2t.net/ark:/65665/307f6c1b0-5e23-4520-aaea-0a1923edf898
,,Entomology Types,Insecta,Coleoptera,Melandryidae,"Abstrulia variegata Casey, 1900",Type,,,1 Adult,Pinned,,,United States,Pennsylvania,[Not Stated],[Not Stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,4/29/2013 17:26,http://n2t.net/ark:/65665/3b525edc2-315a-493a-9982-5122faa3edcf
398313 .003,USNMENT00398313.003,Entomology Types,Insecta,Hemiptera,Aphididae,"Abstrusomyzus reticulatus (Heie, 1972)",,,"Ovatus reticulatus Heie, 1972",Immature,Slide section,,,United States,North Carolina,McDowell,"Pleasant Gardens, Marion",,35.6889,-82.0783,,"Heie, O. E.",13-Oct-61,2,"Reviewed, 2008, Colin Favret, for USDA SEL.",,,,,,,,10/7/2015 16:11,http://n2t.net/ark:/65665/340e5e522-d3f3-482f-b519-9e4af3e4c67e
USNMENT  1524109,USNMENT01524109,Inquire Types,Insecta,Hymenoptera,Ichneumonidae,Absyrtus arealis Cushman,Type,,,,,,,United States,Maryland,Montgomery,Cabin John,,38.9754,-77.158,,"Fouts, R. M.",5-Aug-17,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/18/2019 17:45,http://n2t.net/ark:/65665/362f3c6f5-0513-4b2b-911c-6f9593f73c73
,,Inquire Types,Insecta,Hymenoptera,Ichneumonidae,Absyrtus perilissoides Cushman,Type,,,,,,,United States,Connecticut,Hartford,Hartford,,41.7637,-72.6851,,[Not Stated],24 Jun 1894 (6/24 '94),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,1/7/2014 17:35,http://n2t.net/ark:/65665/3fe05591a-f36c-4b8e-856d-ce882fc68ba3
,,Entomology Types,Insecta,Coleoptera,Bruchidae,"Abutiloneus idoneus Bridwell, 1946",Holotype,Bridwell. 1946. J. Wash. Acad. Sci. 36: 55.,,1 Adult,Pinned,,,United States,Texas,,Brownsville; Tex,,,,,Bibby; Higdon,19 Dec 1939 (12.19.39),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:56,http://n2t.net/ark:/65665/3422c2944-cdcf-4c30-b439-aaa3c38a088e
,,Entomology Types,Insecta,Coleoptera,Curculionidae,"Acacalles indigens Fall & Cockerell, 1907",Type,"Fall & Cockerell, T. D. 1907. Transactions of the American Entomological Society. 33: 268.",,1 Adult,Pinned,,,United States,New Mexico,Otero,Cloudcroft,,32.9547,-105.741,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,4/29/2013 17:27,http://n2t.net/ark:/65665/328d08b8d-bd3a-436a-8f47-38634ef96148
,,Inquire Types,Insecta,Lepidoptera,Pyralidae,Acallis centralis Dyar,Type,,,,,,,United States,Arizona,Coconino,Williams,,35.2494,-112.19,,"Barber, H. S.",,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,2/1/2022 21:32,http://n2t.net/ark:/65665/3fb537a54-6f56-4988-afdc-7d827d14c35b
,,Inquire Types,Insecta,Lepidoptera,Pyralidae,Acallis mitchelli Dyar,Holotype,,,,,,,United States,Texas,Brewster,Brewster Co.; Tx.; Chisos Mts.,,29.8119,-103.252,,Mitchell; Cushman,10 Jun 1908 to 12 Jun 1908,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,2/1/2022 21:38,http://n2t.net/ark:/65665/35eaf1165-16bd-4213-b388-3cf762b9e751
,,Entomology Types,Insecta,Coleoptera,Curculionidae,"Acallodes saltoides Dietz, 1896",Type,Dietz. 1896. Transactions of the American Entomological Society. 23: 416.,,1 Adult,Pinned,,,United States,Minnesota,[Not Stated],[not stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:49,http://n2t.net/ark:/65665/34694f059-d618-4163-a6a1-12a68cdddd45
,,Entomology Types,Insecta,Coleoptera,Staphylinidae,"Acalophaena compacta Casey, 1905",Type,,,1 Adult,Pinned,,,United States,Arizona,Cochise,[Not Stated],,31.8806,-109.754,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,4/24/2013 19:27,http://n2t.net/ark:/65665/3e11ceabd-55f8-4bd6-a374-ac34b6d63c58
USNMENT   871398,USNMENT00871398,Entomology Types,Insecta,Coleoptera,Chrysomelidae,"Acalymma gouldi Barber, 1947",Type,Barber. 1947. Proceedings of the Entomological Society of Washington. 49 (6): 154.,,1 Adult Male,Pinned,,,United States,Indiana,Tippecanoe,"Purdue University, Lafayette",,40.4167,-86.8753,,"Gould, G. E.",([Not Stated]),1,"Data submitted by specialist, Sep 2012.",,,,,,,,3/2/2017 15:04,http://n2t.net/ark:/65665/3bf55d89e-c8f0-4ba8-8fe7-09e4d3b10f24
USNMENT   871100,USNMENT00871100,Entomology Types,Insecta,Hemiptera,Tingidae,"Acalypta barberi Drake, 1934",Holotype,196,,1 Adult Female,Pinned,,,United States,Nevada,[Not Stated],Merrifield,,,,,"Crosby, C. R.",21 Jul 1927 (July 21 '27),1,"Reviewed, 19 Apr 2007, reviewed by T.Henry, SEL.",,,,,,,,4/13/2017 14:10,http://n2t.net/ark:/65665/3614695a7-1ae2-45ad-8e26-d3fc36c45626
USNMENT   866003,USNMENT00866003,Entomology Types,Insecta,Hemiptera,Tingidae,"Acalypta cooleyi Drake, 1917",Holotype,1917. The Ohio Journal of Science. 17: 213.,,1,Pinned,,,United States,Montana,Gallatin,Bozeman,,45.6778,-111.047,,[Not Stated],([Not Stated]),1,"Reviewed, 25 Jun 2010, reviewed by T.Henry, SEL.",,,,,,,,4/13/2017 14:00,http://n2t.net/ark:/65665/3b4626a36-3c46-4bdb-8e43-b31bbf80309d
USNMENT   871103,USNMENT00871103,Entomology Types,Insecta,Hemiptera,Tingidae,"Acalypta nyctalis Drake, 1928",Holotype,"3, 5.",,1 Adult Female,Pinned,,,United States,New Hampshire,Grafton,Franconia,,44.227,-71.7479,,[Not Stated],([Not Stated]),1,"Reviewed, 17 Sep 2009, reviewed by T.Henry, SEL.",,,,,,,,4/13/2017 14:10,http://n2t.net/ark:/65665/3b13d3b03-ccb3-436f-a897-fdbf245d5732
,,Entomology Types,Insecta,Coleoptera,Curculionidae,"Acamptus echinus Casey, 1892",Type,Casey. 1892. Annals of the New York Academy of Sciences. 6: 445.,,1 Adult,Pinned,,,United States,New York,Erie,Buffalo,,42.8864,-78.8784,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:50,http://n2t.net/ark:/65665/311cf098f-ac0c-4f51-b386-86154fc0fa85
,,Inquire Types,Insecta,Hemiptera,Acanaloniidae,Acanalonia brevifrons Muir,Holotype,,,,,,,United States,Puerto Rico,Loíza,Punta Cangrejos,,18.4597,-65.9911,,"Wolcott, G. N.",24 Jun 1923 (JUNE 24 1923),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 19:57,http://n2t.net/ark:/65665/3fe387246-e7d4-4d97-af0d-15e433d8c8ef
,,Inquire Types,Insecta,Hemiptera,Acanaloniidae,Acanalonia laticosta Doering,Allotype,,,,,,,United States,Texas,,Olivia; Tex,,,,,"Mitchell, J. D.",19 Jun 1907 (VI. 19. 07),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/8/2015 16:09,http://n2t.net/ark:/65665/31377d6bc-f168-4a3a-b175-8cc2156009f9
,,Inquire Types,Insecta,Hemiptera,Acanaloniidae,Acanalonia planata Ball,Holotype,,,,,,,United States,Texas,,Brownsville; Texas,,,,,"Snow, F. H.",,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 19:57,http://n2t.net/ark:/65665/326564dda-0d02-4e24-88af-7c5fcac60013
,,Inquire Types,Insecta,Hemiptera,Acanaloniidae,Acanalonia saltonia Ball,Holotype,,,,,,,United States,California,Imperial,Imperial,,32.8476,-115.569,,Ball,18-Jun-09,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 19:26,http://n2t.net/ark:/65665/3ba7bfd29-9f4a-438e-83c7-d1ea01791553
