Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Inquire Types,Insecta,Lepidoptera,Pterophoridae,"Adaina buscki Barnes & Lindsey, 1921",Holotype,,,1 Adult Female,Pinned,,,United States,Florida,Miami-Dade,Cocoanut Grove,,25.72,-80.25,,"Schwarz, E. A.",,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,2/3/2022 21:48,http://n2t.net/ark:/65665/31451b0ab-e5f6-4ba9-ac1f-ed8500ef32e4
,,Inquire Types,Insecta,Lepidoptera,Pterophoridae,"Adaina zephyria Barnes & Lindsey, 1921",Holotype,,,1 Male,Pinned,,,United States,California,San Diego,San Diego,,32.7153,-117.157,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,2/3/2022 21:48,http://n2t.net/ark:/65665/35b85abd8-f496-4ac7-b5d5-72d56edff148
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres humeralis Casey, 1895",,,,,,,,United States,California,Santa Barbara,[Not Stated],,34.6714,-121.695,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,9/4/2009 16:57,http://n2t.net/ark:/65665/3c29bb2a4-2a6b-40b9-a317-f8bb6d5b304a
,,Entomology Types,Insecta,Coleoptera,Curculionidae,"Adaleres humeralis Casey, 1895",Type,Casey. 1895. Annals of the New York Academy of Sciences. 8: 818.,,1 Adult,Pinned,,,United States,California,Santa Barbara,[Not Stated],,34.6714,-121.695,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:30,http://n2t.net/ark:/65665/3a4807378-15d2-4838-985c-125b74ce36ca
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3d4add7f8-c56c-4c37-86b9-ff4f564b9e2e
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3726f1c1c-1aa0-4293-981a-b56bb33ee179
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3b89adbd2-98ea-41c2-9e0b-a3106e8e6474
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,[Not Stated],Mojave Desert,,35.1445,-116.235,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:32,http://n2t.net/ark:/65665/3958af668-fe5d-45e9-9c3b-06f605ce7263
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3157a3849-dde3-400c-a559-8c5213fd4e73
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3f79e0d33-691d-4fe9-8129-5d2942df1e02
,,Inquire Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",,,,,,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Unreviewed, Sep 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 15:11,http://n2t.net/ark:/65665/3d7207d6f-ac65-4edd-ae88-2adf083628cf
,,Entomology Types,Insecta,Coleoptera,Curculionidae,"Adaleres ovipennis Casey, 1895",Type,Casey. 1895. Annals of the New York Academy of Sciences. 8: 816.,,1 Adult,Pinned,,,United States,California,Sonoma,[Not Stated],,38.5285,-122.887,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:30,http://n2t.net/ark:/65665/37a4d9296-79b5-46f0-a3d7-d5f130b4ee23
,,Inquire Types,Insecta,Coleoptera,Coccinellidae,"Adalia coloradensis Casey, 1908",,,,,,,,United States,Colorado,,Denver,,39.7392,-104.985,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:38,http://n2t.net/ark:/65665/3f973c7be-e6a4-441d-ab67-21ab67867b17
,,Inquire Types,Insecta,Coleoptera,Coccinellidae,"Adalia coloradensis Casey, 1908",,,,,,,,United States,Colorado,Boulder,Fraser,2438,39.945,-105.817,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:43,http://n2t.net/ark:/65665/3436b0c69-e7c5-4464-83ec-3f96c3d09241
,,Entomology Types,Insecta,Coleoptera,Coccinellidae,"Adalia coloradensis Casey, 1908",Type,Casey. 1908. Canad. Ent. 40: 401.,,1 Adult,Pinned,,,United States,Colorado,,Denver,,39.7392,-104.985,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:29,http://n2t.net/ark:/65665/3715bf7a1-03cb-4681-8b33-19f994158c05
,,Entomology Types,Insecta,Coleoptera,Coccinellidae,"Adalia ornatella Casey, 1899",Type,Casey. 1899. Jl. N.Y. Ent. Soc. 7: 86.,,1 Adult,Pinned,,,United States,Colorado,[Not Stated],[Not Stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:47,http://n2t.net/ark:/65665/34dfa8af6-8ec4-42a9-a87f-bc6f2dfd48dd
,,Entomology Types,Insecta,Coleoptera,Coccinellidae,"Adalia ovipennis Casey, 1899",Type,Casey. 1899. Jl. N.Y. Ent. Soc. 7: 86.,,1 Adult,Pinned,,,United States,California,Napa,Yountville,,38.4016,-122.361,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:47,http://n2t.net/ark:/65665/3500131cc-c829-4e23-80cc-d73b573b9b7b
,,Entomology Types,Insecta,Coleoptera,Coccinellidae,"Adalia transversalis Casey, 1899",Type,Casey. 1899. Jl. N.Y. Ent. Soc. 7: 86.,,1 Adult,Pinned,,,United States,New Mexico,San Miguel,Las Vegas,,35.5969,-105.222,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:47,http://n2t.net/ark:/65665/3f22511b5-e95c-4a81-adf3-245ad218a1ff
